navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
NELIA;16;16;21;9;4;4;:;5;:;4;
NELLIE;16;15;20;8;6;5;13;7;7;10;
NELLY;32;37;28;27;26;22;26;23;16;16;
NICOLE;12;11;8;12;20;12;13;12;20;19;
NICOLINE;33;41;42;32;23;43;50;47;73;28;
NIKOLA;12;7;16;17;17;16;18;14;14;10;
NIKOLINE;33;44;36;38;34;29;35;25;38;17;
NILA;:;5;10;6;6;10;7;8;19;12;
NINA;34;32;27;38;49;34;42;40;54;38;
NOELIA;12;11;5;5;5;4;4;:;:;4;
NOELLE;17;10;10;13;5;5;6;:;:;:;
NOOR;23;19;24;15;17;31;20;25;16;18;
NOORA;13;8;:;:;:;:;:;:;:;4;
NORA;376;519;429;437;317;424;425;408;450;410;
NORAH;29;37;23;32;26;32;25;30;19;30;
NOUR;4;8;6;6;7;6;8;8;8;11;
NOVA;34;39;26;21;28;11;13;12;7;7;
ODA;165;172;198;184;193;175;184;187;196;210;
OLAVA;32;28;28;23;12;17;16;16;13;5;
OLEA;19;31;38;31;37;29;17;21;24;17;
OLINE;130;128;116;89;79;94;64;100;64;75;
OLIVIA;316;318;364;298;269;241;218;190;159;116;
OLIWIA;10;23;14;9;17;13;20;26;29;27;
OTHELIA;17;12;14;8;5;:;5;5;:;:;
OTHELIE;10;12;20;12;13;16;13;5;12;8;
OTHILIE;40;26;41;40;26;33;17;26;19;24;
OTILIE;8;21;19;13;15;12;11;9;14;13;
PAULA;13;7;16;6;9;9;7;11;17;12;
PAULINA;8;10;8;8;6;7;7;6;21;15;
PAULINE;8;8;10;15;10;10;12;7;8;10;
PERNILLE;109;103;98;132;137;136;161;184;163;114;
PETRA;28;32;24;29;21;24;18;17;10;19;
PIA;45;52;49;46;54;55;49;57;76;64;
POLA;10;12;10;12;10;:;:;4;:;:;
RACHEL;6;6;8;:;12;8;:;7;5;4;
RAGNA;10;11;9;11;12;12;7;14;11;11;
RAGNHILD;21;25;26;24;26;18;21;30;34;31;
RAHAF;:;8;:;4;12;9;6;:;6;:;
RAKEL;30;30;46;35;44;35;28;34;32;36;
RANDI;4;9;6;5;8;4;7;10;6;4;
RANIA;10;8;10;7;10;12;13;:;10;9;
RAWAN;:;:;4;:;:;4;7;:;12;4;
RAYAN;:;9;12;11;13;7;11;8;4;7;
REBECCA;15;16;23;20;26;25;38;37;40;43;
REBEKKA;17;24;34;36;29;34;42;31;40;45;
REGINE;5;:;7;8;15;10;10;12;16;24;
