navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
NICOLAY;12;8;14;10;16;24;22;20;45;23;
NIKLAS;49;62;66;49;64;61;83;86;80;89;
NIKODEM;14;13;12;14;16;4;16;6;10;5;
NIKOLAI;104;123;126;139;142;145;161;166;153;161;
NIKOLAS;20;25;26;24;22;15;24;27;23;18;
NIKOLAY;8;6;10;:;4;5;10;8;10;10;
NILS;78;74;60;64;65;66;46;52;56;52;
NOA;11;21;16;23;14;14;29;18;23;17;
NOAH;357;359;299;333;305;320;371;375;401;361;
NOEL;34;27;26;16;21;18;15;16;14;10;
NOJUS;16;12;12;16;16;10;9;13;9;21;
ODD;11;10;6;13;13;9;10;8;9;12;
ODIN;167;173;146;195;168;125;131;137;141;138;
OLA;105;138;109;116;112;133;143;124;122;128;
OLAF;26;27;32;17;14;18;18;20;15;16;
OLAI;76;72;71;75;57;56;52;27;19;39;
OLANDER;17;17;7;10;11;9;12;9;11;:;
OLAV;250;249;231;191;200;158;170;166;116;150;
OLE;120;135;137;154;197;151;147;190;186;209;
OLIVER;390;401;424;341;394;379;391;411;462;469;
OLIVIER;17;15;21;16;14;11;17;11;10;8;
OLIWIER;5;:;12;:;12;13;10;13;15;12;
OLVE;21;12;11;19;15;22;15;9;26;27;
OMAR;40;44;41;50;51;42;32;34;51;43;
OSCAR;164;189;178;179;197;172;197;135;158;169;
OSKAR;229;240;208;223;212;234;187;227;186;194;
OTTO;14;23;21;19;16;7;13;12;13;10;
PATRICK;28;34;46;53;57;61;65;79;57;82;
PATRIK;6;9;18;15;17;19;18;22;21;27;
PATRYK;6;6;5;12;11;14;14;16;14;18;
PAUL;14;18;17;13;20;17;21;17;28;17;
PEDER;58;67;86;83;111;82;79;93;99;85;
PELLE;14;15;6;9;5;10;7;10;16;8;
PER;28;28;25;32;31;37;46;41;49;38;
PETER;48;56;48;62;55;56;50;44;67;60;
PETTER;59;69;77;65;85;77;88;90;92;119;
PHILIP;98;107;119;95;130;92;111;121;123;102;
PHILLIP;35;39;39;42;62;40;43;43;38;45;
PIOTR;:;6;6;:;9;10;10;5;6;7;
PREBEN;9;7;5;8;10;12;17;16;21;19;
PÅL;8;15;8;9;12;5;23;7;17;14;
RAFAEL;15;15;17;14;13;12;11;19;14;12;
RAGNAR;21;26;21;22;15;7;10;4;12;13;
RASMUS;19;18;26;34;29;39;40;46;59;43;
RAVN;8;11;7;8;9;9;12;8;10;10;
RAYAN;14;21;28;24;24;27;10;15;21;17;
RICHARD;6;7;8;11;14;13;15;14;15;18;
RIDWAN;:;4;10;10;11;6;7;10;:;:;
ROBERT;11;18;17;14;24;17;23;21;19;20;
ROBIN;33;41;59;48;48;49;85;69;82;97;
ROLF;5;10;6;8;10;7;14;7;17;13;
ROMEO;13;4;5;8;7;4;4;8;7;9;
RUBEN;9;27;24;34;40;38;37;40;54;61;
RUNAR;:;:;5;:;6;8;4;17;8;14;
RYAN;11;10;22;8;16;9;10;10;13;13;
SAID;:;4;4;:;6;5;11;6;13;5;
SAKARIAS;:;6;5;4;11;11;6;6;10;6;
SALMAN;9;19;9;15;8;8;5;6;12;6;
SAM;22;20;20;20;25;19;15;11;15;9;
SAMI;:;6;8;11;7;6;8;7;:;7;
SAMIR;9;4;:;9;10;9;4;9;7;7;
SAMSON;9;6;12;7;11;8;7;7;11;8;
SAMUEL;132;148;124;114;134;124;106;100;108;98;
SANDER;215;223;240;325;291;285;281;335;425;341;
SCOTT;11;15;17;13;17;18;26;16;25;21;
SEAN;:;8;13;9;16;10;13;22;33;20;
SEBASTIAN;233;260;275;278;323;335;333;362;426;378;
SELMER;12;17;6;19;19;13;7;9;11;8;
SEVERIN;16;25;14;6;11;8;9;5;9;5;
SHAYAN;:;:;:;:;5;:;:;:;10;4;
SIGMUND;12;15;5;9;9;17;13;9;9;10;
SIGURD;171;156;175;180;151;191;205;208;149;159;
SIGVE;31;27;24;19;32;35;43;32;39;29;
SILAS;21;27;35;24;21;19;24;17;22;20;
SIMEN;41;25;46;62;69;70;138;135;147;193;
SIMON;57;82;75;86;102;108;121;144;135;144;
SINDRE;30;67;55;70;76;102;110;110;134;162;
SIVERT;57;60;89;74;81;87;84;104;87;120;
SJUR;11;15;10;13;17;16;22;14;12;12;
SNORRE;17;19;24;20;29;26;28;29;29;27;
SOFUS;5;4;5;11;:;11;7;6;5;7;
SOLAN;10;11;13;9;14;12;7;5;6;:;
SONDRE;147;161;176;164;185;231;224;224;258;288;
STANISLAW;11;5;:;:;5;7;8;5;:;6;
STEFAN;19;25;28;18;23;16;24;25;29;24;
STEFFEN;8;8;11;8;22;13;19;15;23;24;
STEIN;:;:;6;7;10;9;5;4;8;6;
STEINAR;:;8;6;7;9;6;10;8;18;12;
STEVEN;:;:;4;:;4;7;:;10;7;7;
STIAN;24;18;17;16;20;20;28;43;53;53;
STORM;75;112;114;98;111;111;105;102;103;86;
STURLA;:;:;:;:;:;4;6;7;7;10;
SUNE;4;5;7;10;6;12;8;7;:;:;
SVEIN;:;11;9;9;4;10;6;8;13;13;
SVEN;9;12;7;11;5;10;11;8;7;14;
