navn;Antall;
679 AGA;754;
680 JULIUSSEN;753;
681 RIIS;752;
682 NYBØ;752;
683 FJØRTOFT;750;
684 GAUSTAD;747;
685 TVETER;746;
686 STORMO;746;
687 ALBERTSEN;746;
688 LILLEBØ;743;
689 STOKKELAND;741;
690 SEVERINSEN;741;
691 ROSLAND;741;
692 ROLAND;741;
693 HELLERUD;741;
694 DOKKEN;741;
695 RISA;740;
696 OLAISEN;740;
697 WATHNE;739;
698 FAUSKE;739;
699 SKARET;738;
700 ERSTAD;738;
701 LEIRVIK;735;
702 ANGELL;735;
703 MOHAMMADI;732;
704 KVAMMEN;732;
705 PERSEN;731;
706 LEA;731;
707 HOLTET;731;
708 HELMERSEN;731;
709 ALBRIGTSEN;731;
710 BORG;729;
711 SCHJØLBERG;727;
712 TORKILDSEN;726;
713 ERDAL;726;
714 BULL;725;
715 HOV;724;
716 BEGUM;724;
717 HENDEN;721;
718 BRATLIE;718;
719 HASAN;714;
720 MELHUS;713;
721 RICHARDSEN;712;
722 HEGGE;712;
723 HALLAND;712;
724 MYRLAND;711;
725 SALOMONSEN;708;
726 BRENNE;708;
727 BERGESEN;708;
728 ØREN;706;
729 HEITMANN;706;
730 HEGGEN;706;
731 BERTHEUSSEN;706;
732 BIRKELUND;704;
733 TEIGLAND;703;
734 RISE;702;
735 HAGE;702;
736 RISNES;701;
737 NORDNES;699;
738 GRANHEIM;699;
739 NETLAND;691;
740 VO;690;
741 HØIE;690;
742 BERENTSEN;690;
743 ABDULLAH;689;
744 MYHR;688;
745 HOLDEN;687;
746 RØNNEBERG;686;
747 GJESDAL;686;
748 BJORDAL;684;
749 RABBEN;683;
750 HAUKELAND;683;
751 BECH;681;
752 SUNDET;679;
753 LINNERUD;678;
754 SANDØY;677;
755 DAHLBERG;675;
756 RØDLAND;673;
757 RINGEN;672;
758 RINGDAL;672;
759 DRANGE;672;
760 ROSSELAND;671;
761 HAUGER;670;
762 VANG;669;
763 REFSNES;669;
764 LUNDEN;669;
765 GRANUM;669;
766 LINDSTRØM;668;
767 OPPEDAL;667;
768 SØREIDE;665;
769 NAKKEN;665;
770 BLIX;665;
771 REE;664;
772 UTNE;663;
773 SAID;662;
774 ALME;662;
775 SKOGLI;661;
776 BØHN;661;
777 ABELSEN;661;
778 SØRENG;659;
779 RYE;659;
780 MYRSETH;659;
781 GUDMUNDSEN;659;
782 SANDVOLD;658;
783 ANDERSON;658;
784 VESTLI;657;
785 GJELSVIK;657;
786 ULVESTAD;655;
787 MUSTAFA;655;
788 KARLSTAD;655;
789 AASERUD;655;
790 STANG;654;
791 KITTELSEN;653;
792 HEGGEM;652;
793 HESTNES;651;
794 EIE;651;
795 STIEN;650;
796 SCHRØDER;649;
797 FUGLESTAD;649;
798 FRØYLAND;649;
799 BORE;647;
800 LØVAAS;646;
801 HOMME;646;
802 FOLKESTAD;646;
803 STORSVEEN;645;
804 AARNES;645;
805 OPDAL;644;
806 ENGE;644;
807 BRULAND;644;
808 VU;643;
809 TORVIK;643;
810 SKAGEN;643;
811 ROALD;643;
812 BOGEN;642;
813 GREEN;640;
814 REISTAD;638;
815 ODLAND;638;
816 SMESTAD;637;
817 JAHREN;637;
818 MYDLAND;636;
819 ØSTLI;635;
820 ÅSEN;635;
821 HAUGLI;635;
822 SYLTE;634;
823 LINDLAND;633;
824 SKJOLD;632;
825 REKDAL;632;
826 FURULUND;632;
827 SMEDSRUD;630;
828 MIDTUN;629;
829 MAHAMED;629;
830 HELLUM;629;
831 HEIBERG;629;
832 ROGNSTAD;628;
833 LYNG;627;
834 GRØNDAHL;627;
835 SØRVIK;626;
836 MYRVOLL;626;
837 HENNINGSEN;626;
838 SØRBØ;625;
839 EIRA;625;
840 HOVDA;624;
841 GRANLUND;624;
842 SVEUM;623;
843 STØLE;623;
844 SOLLID;623;
845 LØVSTAD;623;
846 MELBYE;622;
847 LODE;622;
848 KOLBERG;622;
849 JANSSON;622;
850 ABBAS;622;
851 ALNES;621;
852 GRANBERG;620;
853 WERGELAND;619;
854 RANDEN;619;
855 ELSTAD;619;
856 VATLAND;618;
857 ROGSTAD;618;
858 MOI;618;
859 HOGSTAD;618;
860 AANONSEN;616;
861 WESTGAARD;615;
862 THUNE;615;
863 ROLLAND;615;
864 HOLBERG;613;
865 GAARDER;613;
866 EK;611;
867 EID;611;
868 AARSTAD;611;
869 URDAL;610;
870 ØVERÅS;608;
871 ØSTGÅRD;608;
872 SKREDE;608;
873 ENGELSEN;608;
874 MÆHLUM;607;
875 LUNDBY;607;
876 KITTILSEN;607;
877 KILDAL;607;
878 BERLAND;606;
879 BERGMANN;606;
880 HJELMELAND;605;
881 SØRGÅRD;604;
882 JAHR;603;
883 FJELDE;603;
884 ZACHARIASSEN;602;
885 SKJELBRED;601;
886 LEIN;601;
887 MARCUSSEN;600;
888 BRYNILDSEN;599;
889 STEINSVIK;598;
890 HARSTAD;598;
891 KVALSVIK;597;
892 KARSTENSEN;597;
893 SVARSTAD;596;
894 OSMUNDSEN;596;
895 SKULSTAD;595;
896 RUDI;595;
897 LONGVA;595;
898 LIMA;595;
899 LILLEVIK;594;
900 HAILE;594;
901 VESTRE;588;
902 NORDBERG;588;
903 LØNNING;588;
904 BRUVIK;587;
905 BAUGE;587;
906 REITEN;586;
907 HÅVIK;586;
908 SORTLAND;585;
909 PETTERSON;584;
910 KJÆRSTAD;581;
911 HAAVE;581;
912 DAMMEN;581;
913 AUESTAD;581;
914 ØVERLI;580;
915 MYHRVOLD;579;
916 FJELDHEIM;579;
917 SALEH;578;
918 BJØRDAL;578;
919 WERNER;577;
920 BROVOLD;577;
921 BOGE;576;
922 VESTBY;575;
923 RASHID;575;
924 OFSTAD;575;
925 MIDTTUN;575;
926 MARTHINUSSEN;575;
927 LOE;575;
928 ENGELSTAD;575;
929 GRØNÅS;574;
930 HEGGLAND;573;
931 GASHI;573;
932 THON;571;
933 JORDAL;571;
934 HAUAN;571;
935 GUDBRANDSEN;571;
936 SELE;570;
937 LEKNES;570;
938 HALLE;569;
939 PETTERSSON;568;
940 MYRAN;568;
941 KALLEVIK;568;
942 ØVERGÅRD;567;
943 THUE;567;
944 TERJESEN;566;
945 HØYDAL;566;
946 GAUP;566;
947 ØIE;565;
948 SOLTVEDT;564;
949 NORDÅS;563;
950 SKAU;560;
951 BRATLI;560;
952 BERGSETH;560;
953 VELAND;559;
954 GROVEN;559;
955 TJELTA;558;
956 STENSBY;558;
957 OMMUNDSEN;558;
958 NYMO;558;
959 SOLÅS;557;
960 SELVIK;557;
961 RYDLAND;557;
962 REMME;557;
963 NGO;557;
964 BREKKEN;557;
965 NOWAK;554;
966 HEM;554;
967 FREMSTAD;554;
968 TOFTE;553;
969 OSLAND;553;
970 FAGERLAND;552;
971 BJØRKLI;552;
972 VINDENES;551;
973 OSNES;551;
974 IDLAND;551;
975 SJØBERG;550;
976 NEDREBØ;549;
977 OPDAHL;548;
978 SØRBY;547;
979 SARA;547;
980 CHEN;547;
981 BJØRSVIK;546;
982 NORDSETH;545;
983 AARVIK;544;
984 RAKNES;543;
985 LØKKE;543;
986 HELSETH;543;
987 HEIER;543;
988 HEEN;543;
989 BRU;543;
990 ALSAKER;543;
991 ALEXANDERSEN;543;
992 OTTERLEI;542;
993 KJOS;542;
994 HASSEL;542;
995 GAMST;542;
996 SEMB;541;
997 DREYER;541;
998 TUFTE;540;
999 SKJERVE;539;
1000 SANDMO;538;
1001 ULSTEIN;537;
1002 SELAND;537;
1003 LØVSETH;537;
1004 HÆTTA;537;
1005 ZHANG;535;
1006 SOLLIEN;535;
1007 HEGNA;535;
1008 GROV;535;
1009 GRIMSRUD;535;
1010 ALM;535;
1011 PHAN;534;
1012 HORPESTAD;534;
1013 SÆVIK;533;
1014 FURE;533;
1015 FJELDBERG;533;
1016 FEVANG;533;
1017 BJØRK;533;
1018 STRANDEN;532;
1019 STRANDE;532;
1020 SKAUGE;532;
1021 OSEN;532;
1022 NYSTUEN;532;
1023 JAHNSEN;532;
1024 GODØ;532;
1025 DYRNES;532;
1026 AASS;532;
1027 MARKHUS;531;
1028 KORSMO;531;
1029 FURU;531;
1030 FORBERG;531;
1031 TILLER;530;
1032 SHAH;530;
1033 LANDRO;529;
1034 BREMNES;528;
1035 STENHAUG;527;
1036 SHARIF;527;
1037 RØEN;527;
1038 THARALDSEN;526;
1039 STEINNES;526;
1040 ROSVOLD;526;
1041 HESTAD;526;
1042 WESSEL;525;
1043 TARALDSEN;525;
1044 REIGSTAD;525;
1045 APELAND;524;
1046 RISAN;523;
1047 NORDSTRØM;523;
1048 AADLAND;523;
1049 WILLUMSEN;522;
1050 STØRSETH;522;
1051 KORSNES;522;
1052 ASKE;522;
1053 TENGESDAL;519;
1054 SLETVOLD;519;
1055 HAAVIK;519;
1056 FYLLING;519;
1057 BERNHARDSEN;519;
1058 NERVIK;518;
1059 HOLGERSEN;518;
1060 GUSTAFSSON;518;
1061 GERHARDSEN;518;
1062 FROGNER;518;
1063 WESTGÅRD;517;
1064 STIANSEN;517;
1065 LAVIK;517;
1066 EDLAND;517;
1067 AZIZ;517;
1068 ADAM;517;
1069 HÅRSTAD;516;
1070 HAGERUP;516;
1071 RØSTE;514;
1072 RASCH;514;
1073 GRYTTEN;514;
1074 VAAGE;513;
1075 SANDVEN;513;
1076 MJØS;513;
1077 GRINDE;513;
1078 FOTLAND;513;
1079 RINDAL;512;
1080 LANGÅS;512;
1081 KJELDSEN;512;
1082 HAFSTAD;512;
1083 HORGEN;511;
1084 BERTHELSEN;511;
1085 SCHJELDERUP;510;
1086 NORD;510;
1087 LØVOLD;510;
1088 KVALE;510;
1089 ØSTBYE;509;
1090 VALDERHAUG;509;
1091 KRASNIQI;509;
1092 JÆGER;509;
1093 AALBERG;508;
1094 ELVESTAD;507;
1095 ROSENLUND;506;
1096 STENSEN;505;
1097 NORDENGEN;505;
1098 KAROLIUSSEN;505;
1099 HADLAND;505;
1100 TORKELSEN;504;
1101 OPSTAD;504;
1102 SOMMER;503;
1103 NESJE;503;
1104 HØYVIK;503;
1105 FINNE;503;
1106 WILSON;502;
1107 SOLSVIK;502;
1108 FORNES;502;
1109 BERGLAND;502;
1110 BACH;502;
1111 ØSTVOLD;501;
1112 VIKSE;501;
1113 STAMNES;501;
1114 RØREN;501;
1115 FRIESTAD;501;
1116 ASPELUND;501;
1117 ØSTBØ;500;
1118 SØRDAL;500;
1119 BJØRNERUD;500;
1120 RIAN;499;
1121 MALMIN;499;
1122 EMILSEN;499;
1123 NESET;498;
1124 GRØDEM;498;
1125 AARDAL;498;
1126 WAALER;497;
1127 EIKEN;497;
1128 BOTTEN;497;
1129 ARVESEN;496;
1130 REVHEIM;495;
1131 FRIIS;495;
1132 FLÅTEN;495;
1133 DØRUM;495;
1134 HOLMGREN;493;
1135 DYBDAHL;493;
1136 DJUPVIK;492;
